 7.5197

    7.3126

    7.7899

    7.3765

    7.9345

    7.4955

    7.6261

    7.5358

    7.7311

    7.6261

    7.8544

Training Started
Training on single GPU.
|=========================================================================================|
|     Epoch    |   Iteration  | Time Elapsed |  Mini-batch  |  Mini-batch  | Base Learning|
|              |              |  (seconds)   |     Loss     |   Accuracy   |     Rate     |
|=========================================================================================|
|         7950 |         7950 |       120.94 |       1.8783 |       30.00% |       0.0100 |
|         8000 |         8000 |       121.70 |       1.8670 |       30.00% |       0.0100 |
|         8050 |         8050 |       122.47 |       1.8557 |       30.00% |       0.0100 |
|         8100 |         8100 |       123.23 |       1.9110 |       30.00% |       0.0100 |
|         8150 |         8150 |       124.00 |       1.8967 |       30.00% |       0.0100 |
|         8200 |         8200 |       124.77 |       1.8972 |       30.00% |       0.0100 |
|         8250 |         8250 |       125.53 |       1.8974 |       20.00% |       0.0100 |
|         8300 |         8300 |       126.30 |       1.8969 |       10.00% |       0.0100 |
|         8350 |         8350 |       127.06 |       1.8957 |       10.00% |       0.0100 |
|         8400 |         8400 |       127.82 |       1.8940 |       10.00% |       0.0100 |
|         8450 |         8450 |       128.58 |       1.8918 |       10.00% |       0.0100 |
|         8500 |         8500 |       129.34 |       1.8892 |       10.00% |       0.0100 |
|         8550 |         8550 |       130.10 |       1.8862 |       10.00% |       0.0100 |
|         8600 |         8600 |       130.86 |       1.8829 |       10.00% |       0.0100 |
|         8650 |         8650 |       131.62 |       1.8794 |       10.00% |       0.0100 |
|         8700 |         8700 |       132.38 |       1.8756 |       10.00% |       0.0100 |
|         8750 |         8750 |       133.14 |       1.8717 |       10.00% |       0.0100 |
|         8800 |         8800 |       133.90 |       1.8676 |       10.00% |       0.0100 |
|         8850 |         8850 |       134.66 |       1.8634 |       10.00% |       0.0100 |
|         8900 |         8900 |       135.45 |       1.8590 |       10.00% |       0.0100 |
|         8950 |         8950 |       136.22 |       1.8546 |       10.00% |       0.0100 |
|         9000 |         9000 |       136.99 |       1.8501 |       10.00% |       0.0100 |
|         9050 |         9050 |       137.75 |       1.8455 |       10.00% |       0.0100 |
|         9100 |         9100 |       138.51 |       1.8409 |       10.00% |       0.0100 |
|         9150 |         9150 |       139.27 |       1.8362 |       10.00% |       0.0100 |
|         9200 |         9200 |       140.09 |       1.8315 |       10.00% |       0.0100 |
|         9250 |         9250 |       140.87 |       1.8268 |       10.00% |       0.0100 |
|         9300 |         9300 |       141.62 |       1.8221 |       10.00% |       0.0100 |
|         9350 |         9350 |       142.36 |       1.8173 |       10.00% |       0.0100 |
|         9400 |         9400 |       143.10 |       1.8126 |       10.00% |       0.0100 |
|         9450 |         9450 |       143.85 |       1.8078 |       10.00% |       0.0100 |
|         9500 |         9500 |       144.60 |       1.8031 |       10.00% |       0.0100 |
|         9550 |         9550 |       145.34 |       1.7983 |       10.00% |       0.0100 |
|         9600 |         9600 |       146.08 |       1.7936 |       10.00% |       0.0100 |
|         9650 |         9650 |       146.82 |       1.7889 |       10.00% |       0.0100 |
|         9700 |         9700 |       147.57 |       1.7842 |       10.00% |       0.0100 |
|         9750 |         9750 |       148.32 |       1.7795 |       10.00% |       0.0100 |
|         9800 |         9800 |       149.07 |       1.7748 |       10.00% |       0.0100 |
|         9850 |         9850 |       149.82 |       1.7702 |       10.00% |       0.0100 |
|         9900 |         9900 |       150.57 |       1.7655 |       10.00% |       0.0100 |
|         9950 |         9950 |       151.32 |       1.7609 |       10.00% |       0.0100 |
|        10000 |        10000 |       152.09 |       1.7563 |       10.00% |       0.0100 |
|        10050 |        10050 |       152.86 |       1.7517 |       10.00% |       0.0100 |
|        10100 |        10100 |       153.62 |       1.7472 |       10.00% |       0.0100 |
|        10150 |        10150 |       154.36 |       1.7426 |       10.00% |       0.0100 |
|        10200 |        10200 |       155.20 |       1.7381 |       10.00% |       0.0100 |
|        10250 |        10250 |       155.96 |       1.7336 |       10.00% |       0.0100 |
|        10300 |        10300 |       156.77 |       1.7292 |       10.00% |       0.0100 |
|        10350 |        10350 |       157.57 |       1.7247 |       10.00% |       0.0100 |
|        10400 |        10400 |       158.36 |       1.7203 |       10.00% |       0.0100 |
|        10450 |        10450 |       159.10 |       1.7159 |       10.00% |       0.0100 |
|        10500 |        10500 |       159.85 |       1.7116 |       10.00% |       0.0100 |
|        10550 |        10550 |       160.70 |       1.7072 |       10.00% |       0.0100 |
|        10600 |        10600 |       161.54 |       1.7029 |       10.00% |       0.0100 |
|        10650 |        10650 |       162.29 |       1.6985 |       10.00% |       0.0100 |
|        10700 |        10700 |       163.04 |       1.6944 |       10.00% |       0.0100 |
|        10750 |        10750 |       163.81 |       1.6900 |       10.00% |       0.0100 |
|        10800 |        10800 |       164.59 |       1.6858 |       10.00% |       0.0100 |
|        10850 |        10850 |       165.35 |       1.6818 |       10.00% |       0.0100 |
|        10900 |        10900 |       166.10 |       1.6768 |       10.00% |       0.0100 |
|        10950 |        10950 |       166.86 |       1.6739 |       10.00% |       0.0100 |
|        11000 |        11000 |       167.60 |       1.6714 |       10.00% |       0.0100 |
|        11050 |        11050 |       168.34 |       1.6506 |       10.00% |       0.0100 |
|        11100 |        11100 |       169.09 |       1.6912 |       10.00% |       0.0100 |
|        11150 |        11150 |       169.83 |       1.7075 |       10.00% |       0.0100 |
|        11200 |        11200 |       170.60 |       1.5802 |       20.00% |       0.0100 |
